Gene,Freq
Tp53,0.517
Ttn,0.327
Kmt2d,0.293
Arid1a,0.268
Kdm6a,0.262
Pik3ca,0.217
Tert,0.213
Muc16,0.213
Rb1,0.21100000000000002
Kmt2c,0.16899999999999998
Ep300,0.14800000000000002
Erbb2,0.14800000000000002
Syne1,0.139
Erbb3,0.13699999999999998
Fat4,0.136
Ryr2,0.135
Fgfr3,0.127
Fat1,0.122
Atm,0.122
Crebbp,0.11800000000000001
Birc6,0.11800000000000001
Stag2,0.11599999999999999
Hmcn1,0.11599999999999999
Macf1,0.114
Flg,0.11199999999999999
Kmt2a,0.11199999999999999
Ercc2,0.105
Elf3,0.10099999999999999
Csmd3,0.10099999999999999
Obscn,0.099
Brca2,0.099
Cubn,0.09699999999999999
Neb,0.095
Zfhx4,0.09300000000000001
Syne2,0.09300000000000001
Akap9,0.09300000000000001
Ank2,0.091
Ahnak2,0.08900000000000001
Cdkn1a,0.08900000000000001
Dnah11,0.08900000000000001
Ncor1,0.087
Muc17,0.086
Tsc1,0.086
Dnah5,0.086
Lrp1b,0.084
Xirp2,0.084
Sptan1,0.084
Atr,0.08199999999999999
Ryr1,0.08199999999999999
Apc,0.08199999999999999
Fbxw7,0.08199999999999999
Nf1,0.08
Mdn1,0.078
Arid2,0.078
Pde4dip,0.078
Dnah3,0.076
Ptprd,0.076
Usp34,0.076
Adgrv1,0.076
Ahnak,0.076
Spta1,0.07400000000000001
Trrap,0.07400000000000001
Alms1,0.07400000000000001
Pclo,0.07400000000000001
Mki67,0.07400000000000001
Spen,0.07400000000000001
Dnah7,0.07400000000000001
Dst,0.07200000000000001
Med13,0.07200000000000001
Ryr3,0.07200000000000001
Ank3,0.07
Dmd,0.07
Fat3,0.07
Herc1,0.07
Vcan,0.07
Ush2a,0.068
Pole,0.068
Mycbp2,0.068
Asxl2,0.068
Sacs,0.068
Lama3,0.068
Vps13d,0.065
Cdk12,0.065
Erbb4,0.065
Cdkn2a,0.065
Dnah8,0.065
Arid1b,0.063
Muc5b,0.063
Myo9a,0.063
Frem2,0.063
Ubr4,0.063
Utrn,0.063
Lrp2,0.063
Zfp36l1,0.063
Tchh,0.061
Dido1,0.061
Myh9,0.061
Setd2,0.061
Lama1,0.061
Rnf213,0.061
Srcap,0.061
Dync1h1,0.061
Fry,0.061
Tet1,0.061
Dnah17,0.059000000000000004
Apob,0.059000000000000004
Herc2,0.059000000000000004
Srrm2,0.059000000000000004
Abca13,0.059000000000000004
Sf3b1,0.059000000000000004
Plec,0.059000000000000004
Gon4l,0.057
Atad5,0.057
Dnah10,0.057
Pkhd1l1,0.057
Fras1,0.057
Asxl1,0.057
Dmxl2,0.057
Ash1l,0.057
Csmd1,0.057
Pkhd1,0.057
Myo16,0.057
Pcnt,0.057
Rbm10,0.057
Pcdh15,0.057
Fbn2,0.057
Brca1,0.055
Nav3,0.055
Wdfy3,0.055
Dnah9,0.055
Smarca4,0.055
Fbn1,0.055
Phf3,0.055
Bltp1,0.055
Dcc,0.055
Golgb1,0.055
Csmd2,0.055
Chd2,0.055
Ros1,0.055
Epha5,0.055
Wnk1,0.055
Lrrk2,0.055
Dmxl1,0.055
Cntnap2,0.053
Flg2,0.053
Lrp1,0.053
Vps13b,0.053
Pbrm1,0.053
Hectd4,0.053
Cplane1,0.053
Dsp,0.053
Bdp1,0.053
Itpr2,0.053
Polq,0.053
Bsn,0.053
Reln,0.053
Nsd1,0.053
Ep400,0.053
Tenm3,0.053
Rictor,0.053
Notch3,0.053
Nup205,0.051
Rhob,0.051
Epg5,0.051
Fbn3,0.051
Hectd1,0.051
Ankhd1,0.051
Lama2,0.051
Lyst,0.051
Smarca2,0.051
Muc4,0.051
Prkdc,0.051
Dchs2,0.051
Hspg2,0.051
Adgrg4,0.051
Ankrd11,0.05
Mtor,0.049
Hydin,0.049
Lats1,0.049
Notch4,0.049
Col6a6,0.049
Col6a3,0.049
Tg,0.049
Cacna1a,0.049
Fmn2,0.049
Tnxb,0.049
Fat2,0.049
Szt2,0.049
Golga4,0.049
Diaph2,0.049
Myh11,0.049
Trio,0.049
Svil,0.049
Rev3l,0.049
Mical2,0.049
Bptf,0.049
Ahr,0.049
Tp53bp1,0.049
Magec1,0.049
Mdc1,0.047
Blm,0.047
Hsp90aa1,0.047
Dot1l,0.047
Fanca,0.047
Zan,0.046
Rp1l1,0.046
Unc79,0.046
Dop1b,0.046
Vps13c,0.046
Sytl2,0.046
Col12a1,0.046
Atad2,0.046
Chd6,0.046
Abca12,0.046
Ccdc88a,0.046
Jmjd1c,0.046
Pikfyve,0.046
Exph5,0.046
Rb1cc1,0.046
Epha3,0.046
Med12,0.046
Cnot1,0.046
Ttc3,0.046
Stag1,0.046
Flnb,0.046
Scn1a,0.046
Spag17,0.046
Lrba,0.046
Tiam2,0.046
Ubr5,0.046
Kdm5a,0.045
Mga,0.045
Dnah2,0.044000000000000004
Cit,0.044000000000000004
Sall1,0.044000000000000004
Akap6,0.044000000000000004
Col14a1,0.044000000000000004
Itsn2,0.044000000000000004
Hrnr,0.044000000000000004
Smg1,0.044000000000000004
Grin2a,0.044000000000000004
Usf3,0.044000000000000004
Gpr179,0.044000000000000004
Peg3,0.044000000000000004
Chd9,0.044000000000000004
Nfe2l2,0.044000000000000004
Rxra,0.044000000000000004
Kmt2e,0.044000000000000004
F5,0.044000000000000004
Tiam1,0.044000000000000004
Cmya5,0.044000000000000004
Flt4,0.044000000000000004
Col22a1,0.044000000000000004
Rhoa,0.043
Foxa1,0.043
Casp8,0.043
Tgfbr1,0.043
Axin2,0.043
Zfhx3,0.043
Efcab5,0.042
Lrriq1,0.042
Epha2,0.042
Akap13,0.042
Myo3a,0.042
Cep350,0.042
Znf236,0.042
Lrrc7,0.042
Zzef1,0.042
Chd7,0.042
Lmtk2,0.042
Pard3,0.042
Kdr,0.042
Ptprt,0.042
Cacna2d1,0.042
Trank1,0.042
Brwd1,0.042
Fcgbp,0.042
Dscam,0.042
Myh15,0.042
Robo2,0.042
Adamts18,0.042
Dop1a,0.042
Dnajc13,0.042
Tln1,0.042
Znf292,0.042
Setx,0.042
Kalrn,0.042
Fancd2,0.042
Rad21,0.040999999999999995
Adcy2,0.04
Znf521,0.04
Fn1,0.04
Slx4,0.04
Bod1l1,0.04
Thsd7b,0.04
Tpr,0.04
Taf1l,0.04
Acaca,0.04
Clip1,0.04
Tasor2,0.04
Hivep2,0.04
Kansl1,0.04
Igsf10,0.04
Nbeal1,0.04
Mroh2b,0.04
Tenm1,0.04
Kif1b,0.04
Kmt2b,0.04
F8,0.04
Lama5,0.04
Notch2,0.04
Ticrr,0.04
Stab1,0.04
Baz2b,0.04
Chd4,0.04
Nalcn,0.04
Braf,0.04
Virma,0.04
Arhgap31,0.04
Acin1,0.04
Svep1,0.04
Dnah1,0.04
Fam193a,0.04
Helz,0.04
Unc13c,0.04
Chd5,0.04
Mettl3,0.04
Pcnx2,0.04
Met,0.04
Utp20,0.04
Mxra5,0.04
Abcb5,0.04
Prex2,0.039
Spata31h1,0.038
Nrxn1,0.038
Tmem132d,0.038
Myo1f,0.038
Smchd1,0.038
Abcc5,0.038
Zeb2,0.038
Nav1,0.038
Ankrd12,0.038
Nckap5,0.038
Acacb,0.038
Kntc1,0.038
Tut7,0.038
Gcn1,0.038
Dicer1,0.038
Pappa2,0.038
Ncoa1,0.038
Pdzd2,0.038
Brip1,0.038
Celsr3,0.038
Adamts9,0.038
Tenm2,0.038
Ankrd30a,0.038
Ptpn13,0.038
Kif21a,0.038
Col11a1,0.038
Zfyve9,0.038
Ptprf,0.038
Alk,0.038
Sphkap,0.038
Ctnna2,0.038
Huwe1,0.038
Rif1,0.038
Sf3b3,0.038
Znf804a,0.038
Tacc2,0.038
Ranbp2,0.038
Runx1,0.038
Prrc2b,0.038
Dock7,0.038
Nktr,0.038
Adamts12,0.038
Myh4,0.038
Cep250,0.038
Zfyve26,0.038
Znf208,0.038
Kidins220,0.038
Col7a1,0.038
Ptprz1,0.038
Espl1,0.038
Ptprs,0.038
Lama4,0.038
Hivep3,0.036000000000000004
Rlf,0.036000000000000004
Atg2b,0.036000000000000004
Egf,0.036000000000000004
Ankrd26,0.036000000000000004
Cntnap4,0.036000000000000004
Trhde,0.036000000000000004
Msh6,0.036000000000000004
Znf638,0.036000000000000004
Kras,0.036000000000000004
Znf91,0.036000000000000004
Xrn1,0.036000000000000004
Plxna4,0.036000000000000004
Tpte,0.036000000000000004
Ice1,0.036000000000000004
Palb2,0.036000000000000004
Ltbp1,0.036000000000000004
Rnf17,0.036000000000000004
Myh7b,0.036000000000000004
Cenpf,0.036000000000000004
Myh2,0.036000000000000004
Dscaml1,0.036000000000000004
Cadps,0.036000000000000004
Zdbf2,0.036000000000000004
Rptor,0.036000000000000004
Zmym4,0.036000000000000004
Otof,0.036000000000000004
Pten,0.036000000000000004
Kdm3b,0.036000000000000004
Megf8,0.036000000000000004
Mst1r,0.036000000000000004
Sox5,0.036000000000000004
Tsc2,0.036000000000000004
Pcdh9,0.036000000000000004
Asxl3,0.036000000000000004
Cntrl,0.036000000000000004
Trpm6,0.036000000000000004
Cfap43,0.036000000000000004
Grik2,0.036000000000000004
Ppl,0.036000000000000004
Fam135b,0.036000000000000004
Gtf3c1,0.036000000000000004
Znfx1,0.036000000000000004
Gtf2i,0.036000000000000004
Parp4,0.036000000000000004
Rnf216,0.036000000000000004
Ephb1,0.036000000000000004
Cacna1g,0.036000000000000004
Itgal,0.036000000000000004
Tenm4,0.036000000000000004
Polr1a,0.036000000000000004
Fryl,0.036000000000000004
Flnc,0.036000000000000004
Kit,0.036000000000000004
Bclaf1,0.036000000000000004
Wdr17,0.036000000000000004
Phf20,0.036000000000000004
Lpa,0.034
Tp53bp2,0.034
Agl,0.034
Rc3h1,0.034
Map2,0.034
Kcnh8,0.034
Lrp6,0.034
Ctnnb1,0.034
Znf536,0.034
Ssh3,0.034
Synj1,0.034
Robo1,0.034
Pms2,0.034
Hras,0.034
Tecta,0.034
Sos1,0.034
Notch1,0.034
Triobp,0.034
Mpdz,0.034
Aff2,0.034
Phldb2,0.034
Med12l,0.034
Sptbn1,0.034
Scn5a,0.034
Ppfia3,0.034
Brd2,0.034
Cul9,0.034
Trpa1,0.034
Ascc3,0.034
Tp63,0.034
Cdh4,0.034
Acan,0.034
Shroom3,0.034
Tex15,0.034
Psip1,0.034
Anapc1,0.034
Chd8,0.034
Cul3,0.034
Smc4,0.034
Scn3a,0.034
Dchs1,0.034
Supt16h,0.034
Scaf4,0.034
Nlrc5,0.034
Ckap5,0.034
Arhgap32,0.034
Cttnbp2,0.034
Knl1,0.034
Akna,0.034
Dync2h1,0.034
Ipo7,0.034
Nek11,0.034
Epha7,0.034
Bap1,0.034
Kif15,0.034
Pkd1l1,0.034
Cltc,0.034
Frem1,0.034
Ctcf,0.034
Mypn,0.034
Ecpas,0.034
Nhsl3,0.034
Myt1l,0.034
Tyro3,0.034
